,f1,precision,recall,utility
0.0,0.0,0.0,0.0,0.900843322372
0.1,0.00982800982801,0.4,0.00497512437811,0.92945793996
0.2,0.0147058823529,0.5,0.00746268656716,0.935186167392
0.3,0.0339805825243,0.7,0.0174129353234,0.93974753368
0.4,0.0985915492958,0.875,0.0522388059701,0.947305611541
0.5,0.103044496487,0.88,0.0547263681592,0.94746472897
0.6,0.120649651972,0.896551724138,0.0646766169154,0.947968600827
0.7,0.133640552995,0.90625,0.0721393034826,0.948101198685
0.8,0.133640552995,0.90625,0.0721393034826,0.948127718256
0.9,0.868715083799,0.990445859873,0.773631840796,1.0
